feature_group,model,RMSE,R2
lags_only,ols,0.11055753120533755,0.9169328989052998
lags_only,rf,0.12285835257825244,0.897420219537298
lags_only,gbr,0.12771375521028677,0.8891520311005772
rolling_only,ols,0.1177235582922731,0.9058155618636285
rolling_only,rf,0.12618909413293503,0.8917828640854584
rolling_only,gbr,0.12909355507625064,0.8867439235973998
trend_only,ols,0.2235531147504893,0.6603639035727603
trend_only,rf,0.11100189806188702,0.9162638092933034
trend_only,gbr,0.1124603787999732,0.9140488930527124
lags_plus_roll,ols,0.10845455843277796,0.9200629694739246
lags_plus_roll,rf,0.12125589513493905,0.9000786911220312
lags_plus_roll,gbr,0.12383396371373721,0.8957845906895677
full,ols,0.10866466798136085,0.9197529446547471
full,rf,0.11814050077749941,0.9051472328593114
full,gbr,0.12184466019496668,0.8991059878645892
